name,handle,org,region,focus,tags,why_watch,blog_url,profile_url,search_url,status,post_count
Sam Altman,sama,OpenAI,US,"OpenAI strategy, frontier AI, product","company, frontier-lab, product, policy",适合观察 OpenAI 战略、产品节奏、资本/政策信号和前沿模型发布风向。,https://openai.com/news/,https://x.com/sama,https://x.com/search?q=from%3Asama&src=typed_query&f=live,feed unavailable: HTTP Error 404: Not Found,0
Greg Brockman,gdb,OpenAI,US,"OpenAI engineering, products","company, engineering, product",适合看 OpenAI 工程文化、产品实现和模型系统落地信号。,https://openai.com/news/,https://x.com/gdb,https://x.com/search?q=from%3Agdb&src=typed_query&f=live,feed unavailable: HTTP Error 404: Not Found,0
Ilya Sutskever,ilyasut,SSI / OpenAI alumni,US,"superintelligence, alignment, training","frontier-lab, alignment, training",适合关注超级智能、安全、训练范式和前 OpenAI 核心研究脉络。,https://ssi.inc/,https://x.com/ilyasut,https://x.com/search?q=from%3Ailyasut&src=typed_query&f=live,feed unavailable: HTTP Error 404: Not Found,0
Noam Brown,polynoamial,OpenAI,US,"reasoning, search, game AI","reasoning, search, frontier-lab",适合关注推理模型、搜索/规划、博弈 AI 和 OpenAI reasoning 路线。,https://www.noambrown.com/,https://x.com/polynoamial,https://x.com/search?q=from%3Apolynoamial&src=typed_query&f=live,feed unavailable: HTTP Error 404: Not Found,0
Lilian Weng,lilianweng,OpenAI,US,"agents, alignment, research notes","agents, alignment, blog",适合读高质量技术长文，尤其是 agent、RL、alignment 和 LLM 系统总结。,https://lilianweng.github.io/,https://x.com/lilianweng,https://x.com/search?q=from%3Alilianweng&src=typed_query&f=live,feed unavailable: HTTP Error 404: Not Found,0
Dario Amodei,,Anthropic,US,"Claude, AI safety, scaling","company, frontier-lab, alignment, policy",适合观察 Anthropic 的安全路线、Claude 发布和面向社会影响的长线观点。,https://www.anthropic.com/news,https://www.anthropic.com/news,https://www.anthropic.com/news,no x handle configured,0
Daniela Amodei,,Anthropic,US,"AI company building, safety culture","company, frontier-lab, strategy",适合观察 Anthropic 组织、产品、安全文化和商业化节奏。,https://www.anthropic.com/news,https://www.anthropic.com/news,https://www.anthropic.com/news,no x handle configured,0
Jan Leike,janleike,Anthropic,US,"alignment, scalable oversight","alignment, frontier-lab, research",适合关注 alignment、scalable oversight、模型监督和安全评估动向。,https://www.anthropic.com/research,https://x.com/janleike,https://x.com/search?q=from%3Ajanleike&src=typed_query&f=live,feed unavailable: HTTP Error 404: Not Found,0
Amanda Askell,AmandaAskell,Anthropic,US,"Claude behavior, alignment, policy","alignment, product, policy",适合观察 Claude 行为设计、AI 伦理、安全和模型人机交互观点。,https://www.anthropic.com/research,https://x.com/AmandaAskell,https://x.com/search?q=from%3AAmandaAskell&src=typed_query&f=live,feed unavailable: HTTP Error 404: Not Found,0
Demis Hassabis,demishassabis,Google DeepMind,UK,"AGI, science, DeepMind strategy","company, frontier-lab, science, strategy",适合观察 DeepMind 的 AGI 战略、科学智能、Alpha 系列和 Gemini 方向。,https://deepmind.google/discover/blog/,https://x.com/demishassabis,https://x.com/search?q=from%3Ademishassabis&src=typed_query&f=live,feed unavailable: HTTP Error 404: Not Found,0
Oriol Vinyals,OriolVinyalsML,Google DeepMind,UK,"Gemini, sequence models, RL","frontier-lab, llm, rl",适合关注 Gemini、序列建模、RL 和 DeepMind 研究发布。,https://deepmind.google/discover/blog/,https://x.com/OriolVinyalsML,https://x.com/search?q=from%3AOriolVinyalsML&src=typed_query&f=live,feed unavailable: HTTP Error 404: Not Found,0
Pushmeet Kohli,,Google DeepMind,UK,"AI for science, responsible AI","science, responsible-ai, frontier-lab",适合关注 AI for Science、负责任 AI、医学/科学应用和 DeepMind 研究组织方向。,https://deepmind.google/discover/blog/,https://deepmind.google/discover/blog/,https://deepmind.google/discover/blog/,no x handle configured,0
Shakir Mohamed,shakir_za,Google DeepMind,UK,"responsible AI, ML research","responsible-ai, research, society",适合观察负责任 AI、社会影响、公平性和机器学习研究文化。,https://shakirm.com/,https://x.com/shakir_za,https://x.com/search?q=from%3Ashakir_za&src=typed_query&f=live,feed unavailable: HTTP Error 404: Not Found,0
Nando de Freitas,NandoDF,Google DeepMind,UK,"deep learning, AGI, RL","frontier-lab, rl, agi",适合观察深度学习、AGI、RL 以及 DeepMind 研究观点。,https://deepmind.google/discover/blog/,https://x.com/NandoDF,https://x.com/search?q=from%3ANandoDF&src=typed_query&f=live,feed unavailable: HTTP Error 404: Not Found,0
Max Tegmark,tegmark,MIT,US,"AI safety, physics, policy","university, safety, policy",适合关注 AI 安全、政策、长期风险和科学共同体讨论。,https://futureoflife.org/,https://x.com/tegmark,https://x.com/search?q=from%3Ategmark&src=typed_query&f=live,feed unavailable: HTTP Error 404: Not Found,0
Regina Barzilay,,MIT,US,"AI for medicine, NLP","university, healthcare, nlp",适合关注 AI 医疗、NLP、药物发现和 MIT 计算生物方向。,https://people.csail.mit.edu/regina/,https://people.csail.mit.edu/regina/,https://people.csail.mit.edu/regina/,no x handle configured,0
